num_reads,coverage,n_detected,f_detected,smash_count_0,smash_count_1,smash_count_2,smash_count_3,smash_count_4
1,0.0020,59,0.0012,0,0,1,0,1
2,0.0040,98,0.0020,0,0,1,0,1
3,0.0060,168,0.0034,0,0,1,0,1
4,0.0080,238,0.0048,0,1,1,0,1
5,0.0100,308,0.0062,0,1,1,0,2
6,0.0120,378,0.0076,0,1,1,0,2
7,0.0140,423,0.0085,0,1,1,0,3
8,0.0160,448,0.0090,0,1,1,0,3
9,0.0180,518,0.0104,0,1,1,0,3
10,0.0200,557,0.0111,0,1,1,0,3
11,0.0220,627,0.0125,0,1,1,0,3
12,0.0240,697,0.0139,1,1,1,0,3
13,0.0260,717,0.0143,1,1,1,0,3
14,0.0280,775,0.0155,1,1,1,0,3
15,0.0300,845,0.0169,1,1,1,0,3
16,0.0320,914,0.0183,2,1,1,0,3
17,0.0340,984,0.0197,2,1,1,0,4
18,0.0360,1023,0.0205,2,1,1,0,4
19,0.0380,1093,0.0219,2,1,1,0,4
20,0.0400,1163,0.0233,2,1,1,0,4
21,0.0420,1176,0.0235,2,1,1,0,4
22,0.0440,1225,0.0245,2,1,1,1,4
23,0.0460,1295,0.0259,2,1,2,1,4
24,0.0480,1365,0.0273,2,1,2,1,4
25,0.0500,1421,0.0284,2,1,2,2,4
26,0.0520,1491,0.0298,2,1,2,3,4
27,0.0540,1561,0.0312,2,1,2,3,4
28,0.0560,1631,0.0326,3,1,2,3,4
29,0.0580,1701,0.0340,3,1,2,3,4
30,0.0600,1771,0.0354,3,1,2,3,4
31,0.0620,1826,0.0365,3,1,3,3,4
32,0.0640,1888,0.0378,3,1,3,3,4
33,0.0660,1952,0.0391,3,1,3,3,4
34,0.0680,2022,0.0405,3,1,3,3,4
35,0.0700,2061,0.0412,3,1,3,3,4
36,0.0720,2131,0.0426,3,1,3,3,4
37,0.0740,2201,0.0440,4,1,3,3,4
38,0.0760,2271,0.0454,4,1,3,3,4
39,0.0780,2341,0.0468,5,1,3,3,4
40,0.0800,2380,0.0476,5,1,3,3,4
41,0.0820,2450,0.0490,5,1,3,3,4
42,0.0840,2520,0.0504,5,1,3,3,4
43,0.0860,2590,0.0518,5,3,3,3,4
44,0.0880,2644,0.0529,5,3,3,3,4
45,0.0900,2674,0.0535,5,3,3,3,4
46,0.0920,2744,0.0549,5,3,3,3,4
47,0.0940,2807,0.0562,5,3,3,3,4
48,0.0960,2807,0.0562,5,3,3,3,4
49,0.0980,2877,0.0576,5,3,4,3,4
50,0.1000,2947,0.0590,5,3,5,3,4
51,0.1020,3004,0.0601,5,3,5,3,4
52,0.1040,3051,0.0611,5,3,5,3,4
53,0.1060,3121,0.0625,5,3,5,3,4
54,0.1080,3191,0.0639,5,3,5,4,4
55,0.1100,3223,0.0645,5,3,5,4,4
56,0.1120,3261,0.0653,5,4,5,4,4
57,0.1140,3308,0.0662,5,4,5,4,4
58,0.1160,3374,0.0675,5,4,5,4,4
59,0.1180,3413,0.0683,5,4,5,4,4
60,0.1200,3477,0.0696,5,4,5,5,4
61,0.1220,3547,0.0710,5,4,5,5,4
62,0.1240,3617,0.0724,5,4,5,6,4
63,0.1260,3656,0.0732,5,4,5,6,4
64,0.1280,3667,0.0734,5,4,5,6,4
65,0.1300,3737,0.0748,5,4,5,6,4
66,0.1320,3737,0.0748,5,4,5,6,4
67,0.1340,3807,0.0762,5,4,5,6,4
68,0.1360,3877,0.0776,5,4,5,7,4
69,0.1380,3947,0.0790,5,4,5,7,4
70,0.1400,4000,0.0800,5,4,6,7,5
71,0.1420,4048,0.0810,5,4,6,7,5
72,0.1440,4118,0.0824,5,4,6,7,5
73,0.1460,4157,0.0832,5,4,6,7,5
74,0.1480,4227,0.0846,5,4,6,7,5
75,0.1500,4266,0.0854,5,4,6,7,5
76,0.1520,4336,0.0868,5,4,8,7,6
77,0.1540,4375,0.0876,5,4,8,7,6
78,0.1560,4410,0.0883,5,4,8,7,6
79,0.1580,4480,0.0897,5,4,8,7,7
80,0.1600,4519,0.0904,5,4,8,7,8
81,0.1620,4558,0.0912,5,5,8,7,8
82,0.1640,4610,0.0923,5,5,8,7,8
83,0.1660,4656,0.0932,5,5,10,7,8
84,0.1680,4717,0.0944,5,5,10,7,8
85,0.1700,4787,0.0958,5,5,10,7,8
86,0.1720,4853,0.0971,5,5,10,7,8
87,0.1740,4904,0.0981,5,5,10,7,8
88,0.1760,4943,0.0989,5,5,10,7,8
89,0.1780,5013,0.1003,5,5,10,7,9
90,0.1800,5083,0.1017,5,5,10,7,9
91,0.1820,5153,0.1031,6,5,10,7,9
92,0.1840,5223,0.1045,6,5,10,7,9
93,0.1860,5293,0.1059,6,5,10,7,9
94,0.1880,5306,0.1062,6,5,10,7,9
95,0.1900,5307,0.1062,6,5,10,7,9
96,0.1920,5321,0.1065,6,5,10,7,9
97,0.1940,5391,0.1079,6,5,10,7,9
98,0.1960,5461,0.1093,6,5,10,7,9
99,0.1980,5488,0.1098,6,5,10,7,9
100,0.2000,5527,0.1106,6,6,10,7,9
101,0.2020,5597,0.1120,6,6,10,7,9
102,0.2040,5667,0.1134,6,6,10,7,9
103,0.2060,5732,0.1147,6,6,10,7,9
104,0.2080,5801,0.1161,6,6,10,7,9
105,0.2100,5871,0.1175,6,6,10,7,9
106,0.2120,5941,0.1189,6,6,10,7,9
107,0.2140,5980,0.1197,6,6,10,7,9
108,0.2160,6050,0.1211,6,6,10,7,9
109,0.2180,6057,0.1212,6,6,10,7,9
110,0.2200,6070,0.1215,6,6,10,7,9
111,0.2220,6140,0.1229,6,6,10,7,10
112,0.2240,6210,0.1243,6,6,10,7,10
113,0.2260,6280,0.1257,6,7,10,7,10
114,0.2280,6346,0.1270,6,7,10,7,10
115,0.2300,6360,0.1273,6,7,10,7,10
116,0.2320,6404,0.1282,6,7,10,7,10
117,0.2340,6429,0.1287,6,7,10,7,10
118,0.2360,6468,0.1294,6,7,10,7,10
119,0.2380,6538,0.1308,6,7,10,7,10
120,0.2400,6577,0.1316,6,7,10,8,10
121,0.2420,6622,0.1325,6,7,10,8,10
122,0.2440,6675,0.1336,6,7,10,8,10
123,0.2460,6716,0.1344,6,7,10,8,10
124,0.2480,6735,0.1348,6,7,10,8,10
125,0.2500,6776,0.1356,6,7,10,8,11
